手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
SUGAR T30,4900,,2020/05,1,MT6762D,3 GB,64 GB,microSD,256 GB,5000 mAh,6.52 inch,1600x720 pixels,269 ppi,IPS,1300 萬畫素,2.0,187.5 g,,Yes,https://www.sogi.com.tw/products/sugar_t30/15414
SUGAR Y12s,2000,,2018/07,23,MT6739WW,1 GB,16 GB,microSD,128 GB,2500 mAh,5.45 inch,960x480 pixels,197 ppi,IPS,800 萬畫素,,157 g,,Yes,https://www.sogi.com.tw/products/sugar_y12s/13966
SUGAR T50,5300,,2019/06,12,Helio P60,6 GB,128 GB,microSD,128 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,1200 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/sugar_t50/14865
SUGAR T20,4490,,2020/06,0,MT6762D,3 GB,64 GB,microSD,256 GB,4000 mAh,6.52 inch,1600x720 pixels,269 ppi,IPS,1300 萬畫素,2.0,173.7 g,,Yes,https://www.sogi.com.tw/products/sugar_t20/15427
SUGAR C13,2800,,2019/02,16,Snapdragon 450,3 GB,32 GB,microSD,128 GB,4000 mAh,5.93 inch,1512x720 pixels,282 ppi,IPS,1200 萬畫素,2.0,158 g,,Yes,https://www.sogi.com.tw/products/sugar_c13/14523
SUGAR Y18,3990,,2020/01,5,SC9863A,3 GB,64 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_y18/15278
SUGAR T10,3490,,2019/06,12,MT6762V,3 GB,64 GB,microSD,128 GB,4000 mAh,6.26 inch,1520x720 pixels,269 ppi,IPS,1200 萬畫素,2.0,177 g,,Yes,https://www.sogi.com.tw/products/sugar_t10/14866
SUGAR C11s,2899,2100.0,2017/11,31,Snapdragon 430,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11s/13518
SUGAR S20,4400,,2018/12,18,Snapdragon 450,4 GB,64 GB,microSD,128 GB,3400 mAh,6.18 inch,2246x1080 pixels,403 ppi,,1200 萬畫素,2.0,159 g,,Yes,https://www.sogi.com.tw/products/sugar_s20/14012
SUGAR Y16,4490,,2019/01,17,MT6739WW,3 GB,32 GB,microSD,128 GB,2900 mAh,5.45 inch,1440x720 pixels,295 ppi,IPS,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/sugar_y16/14457
SUGAR Y12,2800,,2018/01,29,Snapdragon 425,3 GB,32 GB,microSD,128 GB,3070 mAh,5.45 inch,1440x720 pixels,295 ppi,,800 萬畫素,2.0,158 g,,Yes,https://www.sogi.com.tw/products/sugar_y12/13689
SUGAR Y8 MAX,2250,,2018/02,28,Snapdragon 425,2 GB,16 GB,microSD,128 GB,4000 mAh,5.45 inch,1440x720 pixels,295 ppi,,800 萬畫素,2.0,170 g,,Yes,https://www.sogi.com.tw/products/sugar_y8_max/13716
SUGAR P11,3200,,2019/08,10,SC9863A,3 GB,32 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_p11/15002
SUGAR S20s,3100,,2018/09,21,Snapdragon 450,3 GB,32 GB,microSD,128 GB,3400 mAh,6.18 inch,2246x1080 pixels,403 ppi,IPS,1200 萬畫素,2.0,159 g,,Yes,https://www.sogi.com.tw/products/sugar_s20s/14086
SUGAR P1,2570,,2018/09,21,MT6739WW,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,146 g,,Yes,https://www.sogi.com.tw/products/sugar_p1/14081
SUGAR C11,2990,,2017/11,31,Snapdragon 430,4 GB,64 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1600 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11/13582
SUGAR S11,4150,3900.0,2018/02,28,Snapdragon 450,4 GB,64 GB,microSD,128 GB,3000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,1.7,187 g,,Yes,https://www.sogi.com.tw/products/sugar_s11/13711
SUGAR Y8 MAX Pro,2400,,2019/03,15,Snapdragon 425,3 GB,32 GB,microSD,128 GB,4000 mAh,5.45 inch,1440x720 pixels,295 ppi,IPS,800 萬畫素,2.0,170 g,,Yes,https://www.sogi.com.tw/products/sugar_y8_max_pro/14621
SUGAR F20,9900,,2019/04,14,Snapdragon 450,4 GB,64 GB,microSD,128 GB,6000 mAh,6.26 inch,2246x1080 pixels,398 ppi,IPS,1200 萬畫素,2.2,210 g,,Yes,https://www.sogi.com.tw/products/sugar_f20/14721
SUGAR C12,3299,,2018/07,23,MT6739WW,3 GB,32 GB,microSD,128 GB,3900 mAh,6 inch,1440x720 pixels,268 ppi,LCD,1300 萬畫素,2.0,157 g,,Yes,https://www.sogi.com.tw/products/sugar_c12/14000
