,Name,Price,Second-hand,Listing date,Month
345,ASUS ZenFone Live (L2) ZA550KL,2500.0,,2019/05,12
210,Nokia 2720 Flip,2790.0,,2019/10,7
254,koobee S16,2800.0,,2019/05,12
65,SUGAR P11,3200.0,,2019/08,9
338,ASUS ZenFone Max Pro 2019 ZB602KL,3350.0,,2019/08,9
27,vivo Y12,3400.0,2900.0,2019/11,6
60,SUGAR T10,3490.0,,2019/06,11
6,小米 紅米 Note 8T 32GB,3800.0,,2019/11,6
231,LG Q60,3890.0,3130.0,2019/07,10
304,HTC EXODUS 1s,3990.0,,2019/10,7
59,SUGAR Y18,3990.0,,2020/01,4
122,SAMSUNG Galaxy M11,3990.0,,2020/05,0
1,小米 紅米 Note 8T 64GB,3990.0,,2019/11,6
163,realme 5 32GB,4050.0,3745.0,2019/11,6
302,HTC Desire 19s 32GB,4100.0,,2019/11,6
294,HTC Desire 19s 64GB,4300.0,,2020/02,3
176,OPPO A5 2020,4500.0,4000.0,2019/10,7
31,vivo Y17,4600.0,3700.0,2019/07,10
26,vivo Y19,4700.0,,2019/12,5
168,realme 3,4800.0,,2019/05,12
103,SHARP AQUOS V,4800.0,,2019/11,6
162,realme 5 128GB,4990.0,4500.0,2019/11,6
52,SUGAR T30,4990.0,,2020/05,0
337,ASUS ZenFone Max M2 ZB633KL 64GB,5100.0,3999.0,2019/05,12
297,HTC Desire 19+ 64GB,5190.0,,2019/07,10
55,SUGAR T50,5300.0,,2019/06,11
265,HUAWEI Y9 Prime 2019,5390.0,4900.0,2019/09,8
299,HTC Desire 19+ 128GB,5490.0,4900.0,2019/07,10
165,realme 3 Pro 64GB,5600.0,,2019/06,11
226,LG K51S,5600.0,,2020/05,0
203,Nokia 5.3,5690.0,,2020/05,0
128,SAMSUNG Galaxy A30s,5800.0,4967.0,2019/10,7
164,realme 3 Pro 128GB,5800.0,,2019/06,11
30,vivo S1,5990.0,4000.0,2019/08,9
183,OPPO A9 2020 (4GB/128GB),6290.0,,2019/10,7
161,realme 5 Pro,6300.0,,2019/11,6
0,小米 紅米 Note 8 Pro 64GB,6350.0,,2019/10,7
131,SAMSUNG Galaxy A60,6750.0,6260.0,2019/06,11
35,vivo V15 Pro,6800.0,4900.0,2019/05,12
9,小米 小米 A3,6800.0,,2019/08,9
255,koobee K20,6990.0,,2019/05,12
160,realme XT,7090.0,6300.0,2019/10,7
4,小米 紅米 Note 8 Pro 128GB,7290.0,,2019/10,7
121,SAMSUNG Galaxy A31,7600.0,,2020/05,0
204,Nokia 7.2,7700.0,,2019/10,7
228,LG K61,7790.0,,2020/05,0
177,OPPO A9 2020 (8GB/128GB),7900.0,6493.0,2019/10,7
179,OPPO Reno Z,7900.0,7056.0,2019/06,11
124,SAMSUNG Galaxy A70,8200.0,7140.0,2019/05,12
120,SAMSUNG Galaxy A51,8300.0,7333.0,2020/01,4
293,HTC U19e,8800.0,,2019/06,11
175,OPPO Reno2 Z,8900.0,8126.0,2019/10,7
29,vivo Y50 (8GB/128GB),8900.0,,2020/06,-1
28,vivo V17 Pro,9100.0,7500.0,2019/11,6
3,小米 小米 9T,9390.0,7900.0,2019/07,10
188,OPPO Reno 巴薩限量版,9520.0,12500.0,2019/07,10
